1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Changlang,8,0,12,0,0,0,0,0,0,12,0,0,2,0,0,0,10,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,10,1,0,1,0,0,1,3,0,0,5,0,0,0,0,3,0,0,48,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,21,16,1,15,19,2,0,1,1,0,0,0,2,0,66,0,0,0,0,0,3,0,0,0,0,0,2,1,3,0,0,0,0,4,2,0,2,0,0,0,0,1,0,1,1,1,0,0,0,8,4,130
3,Crime Branch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,Dibang Valley,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,5,3,2,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,17
5,Kameng East,4,3,3,3,1,2,0,0,0,0,0,1,1,0,0,0,37,12,6,4,2,0,0,25,21,4,0,0,0,0,0,0,6,4,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,15,10,0,10,3,1,0,0,0,0,0,0,1,0,35,0,0,0,0,0,4,0,0,0,0,0,3,1,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,3,1,0,0,0,10,9,120
6,Kameng West,5,0,18,17,0,17,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,5,23,2,21,3,3,0,0,0,0,0,0,2,0,47,0,0,0,0,0,3,0,0,0,0,0,1,2,3,0,0,0,0,14,2,4,8,0,0,0,0,0,0,4,0,1,0,0,0,19,19,124
7,Kurung Kumey,7,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,13,10,7,3,0,0,0,3,2,1,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,47
8,Lohit,1,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,7,0,7,0,0,1,2,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,19,15,0,15,4,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,5,3,0,0,0,3,2,0,5,0,0,0,0,12,0,12,0,0,0,0,0,0,0,2,0,3,0,0,0,17,12,106
9,Longding,3,1,2,2,0,2,0,0,0,0,0,0,6,1,0,0,14,6,0,6,0,0,0,8,0,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,8,1,0,1,0,0,3,0,0,0,4,0,0,0,0,7,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,17,2,15,7,2,5,14,4,0,2,2,0,0,0,0,0,44,1,0,0,0,1,2,0,0,0,0,0,2,0,3,0,7,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,12,116
10,Lower Dibang Valley,2,0,6,6,3,3,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,9,8,0,8,0,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50
11,Papum Pare City,11,0,16,14,1,13,0,0,0,2,0,2,4,0,0,0,81,26,19,7,0,0,0,55,28,27,0,0,0,0,0,0,33,31,2,0,0,0,2,0,0,0,37,23,0,23,0,0,2,2,0,0,10,1,0,0,0,12,8,0,205,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,248,160,88,29,0,29,14,16,0,0,0,0,0,0,3,0,310,0,0,0,0,0,31,0,0,0,0,0,16,15,31,0,0,0,0,48,5,4,39,0,0,0,0,0,0,2,4,30,0,0,4,88,107,744
