1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ahmednagar,86,7,715,715,36,679,0,0,0,0,14,110,122,0,6,12,886,599,0,536,0,21,42,287,196,91,0,0,0,0,0,45,410,256,92,0,0,0,92,16,19,27,303,245,98,147,0,0,1,56,0,0,1,0,0,0,0,85,0,0,2801,0,0,0,0,54,507,0,0,0,0,20,0,0,0,84,92,213,0,0,0,0,0,98,0,0,0,27,588,1791,719,1072,558,76,482,27,312,0,71,68,3,48,0,42,0,2849,2,0,0,0,2,175,2,0,2,0,0,173,0,177,0,0,0,0,819,118,416,285,1128,0,0,17,0,57,56,117,239,0,0,20,2453,48,8916
2,Akola,38,3,143,143,28,115,0,0,0,0,9,34,60,0,12,2,1161,1052,0,966,59,26,1,109,56,53,0,0,0,0,0,25,144,63,46,0,0,0,46,8,2,25,96,63,57,6,0,0,0,32,0,0,1,0,0,0,0,27,1,3,1758,0,0,0,0,35,45,0,18,0,0,0,0,0,0,2,0,3,0,19,0,1,2,0,1,1,0,27,108,604,152,452,159,47,112,12,62,1,3,3,0,7,0,6,0,854,1,0,0,0,1,71,5,5,0,0,0,64,2,72,0,67,0,0,413,81,256,76,1143,0,171,8,3,9,42,63,185,0,0,2,2106,128,5026
3,Amravati Commr.,15,4,75,74,16,58,0,0,0,1,2,12,36,0,7,3,494,435,4,414,7,10,0,59,29,24,0,1,4,1,0,19,155,56,63,0,0,0,63,4,0,32,100,92,0,92,0,0,0,7,0,0,1,0,0,0,0,30,0,3,955,0,0,0,0,36,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,20,67,773,272,501,173,101,72,8,36,0,0,0,0,4,0,21,0,1015,0,0,0,0,0,155,67,4,38,4,21,63,25,155,0,4,0,0,396,105,215,76,673,0,178,17,0,20,14,61,170,0,15,4,1552,99,3843
4,Amravati Rural,46,4,198,195,31,164,0,1,0,2,4,43,63,0,13,2,1059,933,0,844,60,15,14,126,75,36,0,0,15,0,0,21,190,70,71,6,11,0,54,11,15,23,115,105,71,34,0,0,0,10,0,0,0,2,0,0,0,42,0,4,1806,0,0,0,0,32,37,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,16,0,2,2,0,36,107,977,159,818,217,43,174,2,42,0,2,2,0,0,0,23,0,1263,0,0,0,0,0,113,41,5,15,5,16,70,2,113,1,51,0,0,1601,1283,180,138,76,0,210,10,0,0,70,13,175,0,0,6,2213,20,5522
5,Aurangabad Commr.,32,4,151,151,39,112,0,0,0,0,4,23,91,0,5,6,747,649,0,553,85,10,1,98,79,18,0,0,0,1,0,28,339,191,130,3,1,0,126,9,4,5,171,148,121,27,1,0,1,18,0,0,3,0,0,0,0,39,0,0,1640,0,0,0,0,41,63,0,2,0,0,0,0,0,0,1,1,11,4,12,0,3,0,29,0,0,0,11,115,1558,677,881,157,36,121,13,154,1,11,11,0,4,0,48,0,1946,3,0,0,0,3,354,195,5,24,41,125,146,13,357,0,61,0,0,465,122,111,232,397,0,17,19,0,2,36,102,227,0,0,4,1330,27,5415
6,Aurangabad Rural,43,6,364,361,120,241,0,0,0,3,14,45,44,0,2,4,866,753,5,725,21,2,0,113,78,35,0,0,0,0,0,10,135,53,64,0,0,0,64,11,0,7,93,61,27,34,0,0,0,32,0,0,0,0,0,0,0,29,0,1,1656,0,0,0,0,18,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,3,3,0,9,259,1144,303,841,173,19,154,3,32,0,9,9,0,6,0,6,0,1373,0,0,0,0,0,83,32,5,12,7,8,48,3,83,0,61,0,0,361,40,73,248,650,0,1,5,0,3,25,68,162,0,0,1,1337,158,4866
7,Beed,56,3,292,290,42,248,0,1,0,1,12,54,105,0,14,6,925,806,26,670,84,15,11,119,74,42,1,0,1,1,0,0,196,75,97,6,8,0,83,4,1,19,134,95,71,24,1,1,0,16,12,0,9,1,0,0,0,30,1,1,1830,0,0,0,0,25,307,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,290,2,2,0,6,340,763,352,411,193,47,146,2,68,0,19,19,0,7,0,25,0,1077,1,0,0,0,1,89,4,0,0,4,0,56,29,90,0,39,0,0,320,33,59,228,976,1,3,3,1,5,30,76,280,0,0,5,1739,86,5162
8,Bhandara,14,3,168,168,0,168,0,0,0,0,0,7,22,0,1,3,338,270,1,241,27,1,0,68,54,10,0,0,2,2,0,18,86,24,35,1,0,3,31,11,1,15,108,95,92,3,0,0,0,5,2,0,6,1,0,0,0,12,3,0,784,0,0,0,0,9,23,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,19,0,0,0,3,35,375,91,284,163,29,134,1,15,2,5,5,0,2,0,16,0,579,1,0,0,0,1,53,37,3,8,13,13,16,0,54,1,4,0,1,326,59,157,110,261,0,83,7,1,16,28,36,31,0,0,13,808,14,2274
9,Buldhana,44,4,248,242,30,212,0,0,0,6,10,49,53,0,5,10,1624,1541,0,1440,89,11,1,83,64,17,0,0,0,2,0,46,277,97,123,0,3,0,120,16,6,35,97,52,36,16,0,0,3,35,0,0,7,0,0,0,0,25,0,4,2496,0,0,0,0,66,184,20,0,0,0,0,0,0,0,5,3,26,1,4,0,2,5,118,1,1,0,14,265,701,218,483,179,32,147,5,42,1,12,12,0,0,0,10,0,950,2,0,0,0,2,120,10,0,9,0,1,108,2,122,0,30,0,0,526,240,160,126,1115,0,250,15,0,11,57,97,145,0,0,9,2255,6,6094
10,Chandrapur,32,9,295,295,0,295,0,0,0,0,7,14,33,0,3,6,716,627,14,572,35,6,0,89,59,28,0,0,0,2,0,12,147,43,75,0,0,0,75,16,1,12,210,118,117,1,0,0,0,88,0,0,4,0,0,0,0,32,0,0,1516,0,0,0,0,21,50,0,0,1,2,0,0,0,0,0,0,9,3,1,0,1,2,31,0,0,0,9,80,587,262,325,243,45,198,10,48,0,2,2,0,2,0,30,0,922,0,0,0,0,0,106,25,7,13,1,4,81,0,106,0,50,0,0,403,94,144,165,3256,0,451,12,0,12,20,76,136,0,13,32,4461,26,7111
11,Dhule,41,1,296,292,56,236,0,0,0,4,5,29,54,0,2,6,395,311,0,252,49,4,6,84,54,26,0,0,0,4,0,15,93,93,0,0,0,0,0,0,0,0,58,6,5,1,0,0,0,52,0,0,0,0,0,0,0,19,0,0,1014,0,0,0,0,4,174,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,163,0,0,0,6,184,526,259,267,155,14,141,10,59,0,37,37,0,3,0,26,0,816,0,0,0,0,0,86,0,0,0,0,0,86,0,86,0,32,0,0,354,133,47,174,481,0,0,8,0,15,17,27,244,0,0,8,1186,13,3299
12,Gadchiroli,37,2,148,148,32,116,0,0,0,0,0,12,67,0,1,0,180,158,1,140,17,0,0,22,6,16,0,0,0,0,0,3,37,18,9,0,0,0,9,7,0,3,41,32,30,2,0,0,1,5,0,0,3,1,0,0,0,10,0,0,539,0,0,0,0,3,13,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,8,0,0,0,0,16,104,45,59,77,8,69,3,4,0,5,5,0,0,0,8,0,201,0,0,0,0,0,33,14,3,0,0,11,19,0,33,0,8,0,0,106,12,28,66,296,0,21,0,0,5,17,7,10,0,0,7,477,10,1276
13,Gondia,28,2,131,131,121,10,0,0,0,0,3,11,29,0,3,2,380,350,0,305,43,2,0,30,26,3,0,0,0,1,0,8,94,35,35,0,0,0,35,10,2,12,76,72,0,72,0,0,1,2,0,0,1,0,0,0,0,27,0,0,794,0,0,0,0,29,21,1,0,0,0,0,0,0,0,2,0,0,0,7,1,0,2,8,2,2,0,4,56,372,126,246,165,11,154,1,27,0,7,7,0,1,0,9,0,582,0,0,0,0,0,69,31,4,10,6,11,38,0,69,0,13,0,0,153,14,55,84,477,0,154,4,1,7,11,39,40,0,0,3,902,7,2410
14,Hingoli,30,1,119,118,118,0,0,0,0,1,4,11,50,0,6,1,398,347,29,304,13,0,1,51,25,26,0,0,0,0,0,5,70,41,17,1,4,0,12,1,0,11,45,30,0,30,0,0,2,8,5,0,0,0,0,1,0,19,0,0,760,0,0,0,0,10,114,0,0,0,0,0,16,0,0,5,5,4,1,20,2,0,5,56,0,0,0,8,132,212,82,130,93,16,77,1,34,0,17,17,0,0,0,10,0,367,1,0,0,0,1,17,10,0,1,1,8,7,0,18,0,13,0,0,185,3,60,122,522,0,199,7,1,4,24,48,63,0,0,2,1068,14,2359
15,Jalgaon,53,4,400,394,0,394,0,0,0,6,3,57,64,0,2,3,604,426,0,426,0,0,0,178,150,28,0,0,0,0,0,0,198,105,60,0,0,0,60,8,1,24,153,39,0,39,0,1,1,82,0,0,30,1,0,0,0,39,1,1,1583,0,0,0,0,9,249,12,0,0,0,0,0,0,0,1,0,3,0,6,0,0,0,227,2,2,0,22,282,984,407,577,278,25,253,18,107,0,21,21,0,6,0,52,0,1466,2,0,0,0,2,172,13,0,8,2,3,148,11,174,0,18,0,0,441,28,229,184,1559,0,0,6,0,0,24,25,227,0,0,8,2308,266,6079
16,Jalna,44,0,199,199,23,176,0,0,0,0,11,4,77,0,49,6,840,764,430,186,80,63,5,76,53,23,0,0,0,0,0,10,201,46,41,8,3,0,30,37,28,49,90,12,0,12,0,2,13,12,0,0,51,0,0,0,0,30,0,0,1561,0,0,0,0,16,220,0,2,0,0,0,0,0,0,53,0,59,9,71,0,0,0,26,0,0,0,6,242,670,240,430,190,23,167,9,73,0,11,11,0,4,0,5,0,962,0,0,0,0,0,104,4,1,1,2,0,85,15,104,0,0,0,0,403,1,137,265,0,0,0,4,2,23,2,68,215,0,0,0,717,121,3707
17,Kolhapur,43,11,368,368,26,342,0,0,0,0,8,44,99,0,12,1,687,567,1,506,56,4,0,120,44,68,0,0,6,2,0,22,152,81,38,0,0,0,38,4,2,27,197,151,31,120,0,0,6,37,0,0,3,1,0,0,0,25,1,0,1671,0,0,0,0,17,233,0,0,0,15,1,4,0,0,6,1,7,2,4,1,1,3,188,2,2,0,26,278,958,506,452,327,35,292,17,141,0,14,13,1,3,18,51,0,1529,0,0,0,0,0,199,20,5,7,6,2,168,11,199,1,19,0,0,559,43,51,465,127,1,42,7,1,4,15,69,96,1,0,5,947,32,4656
18,Latur,44,9,241,241,0,241,0,0,0,0,9,44,40,0,0,3,960,822,56,704,62,0,0,138,89,49,0,0,0,0,0,0,139,0,139,0,0,0,139,0,0,0,134,95,0,95,0,0,0,39,0,0,0,0,0,0,0,15,0,0,1638,0,0,0,0,42,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,20,316,566,282,284,187,30,157,8,58,0,11,11,0,5,0,7,0,842,0,0,0,0,0,120,0,0,0,0,0,120,0,120,0,40,0,0,412,61,89,262,163,0,118,9,0,0,40,114,187,0,0,0,1083,2,4001
19,Mumbai Commr.,127,6,604,492,0,492,0,2,0,110,11,49,201,2,13,31,5152,3985,217,3235,418,85,30,1167,427,658,3,5,21,53,0,39,1713,849,378,12,5,24,337,64,39,383,2159,2100,42,2058,0,2,0,36,5,0,16,34,16,1,0,287,1,55,10501,0,0,0,0,7,435,1,0,0,7,0,0,0,0,1,0,7,3,0,1,0,5,410,12,12,0,48,502,9718,3013,6705,2409,372,2037,198,987,37,33,33,0,8,0,743,0,14133,18,0,0,0,18,3701,552,61,39,249,203,2829,320,3719,2,182,0,10,3119,484,815,1820,1589,1,321,35,8,18,14,130,558,1,101,448,6537,3643,39035
20,Mumbai Railway,4,1,0,0,0,0,0,0,0,0,1,3,4,0,2,3,70,55,1,41,7,6,0,15,9,3,0,0,2,0,1,0,93,43,29,0,29,0,0,0,0,21,39,39,28,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,222,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,13,24493,0,24493,0,0,0,4,496,0,2,2,0,2,0,9,0,25006,0,0,0,0,0,110,0,0,0,0,0,108,2,110,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,9,16,41,25408
21,Nagpur Commr.,85,10,270,270,269,1,0,0,0,0,8,30,73,0,2,9,1344,1069,22,882,97,67,1,275,119,109,0,0,0,47,0,8,278,113,88,5,0,0,83,3,4,70,494,486,42,444,0,0,1,4,0,0,3,15,1,0,0,71,0,10,2708,0,0,0,0,20,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,37,173,3149,1604,1545,995,258,737,49,321,3,15,15,0,36,0,62,0,4630,3,0,0,0,3,444,22,3,6,1,12,393,29,447,3,95,0,0,1354,155,662,537,1008,4,413,8,0,10,38,89,212,0,10,10,3254,116,11328
22,Nagpur Railway,4,1,1,0,0,0,0,0,0,1,2,3,7,0,1,10,63,36,0,21,0,7,8,27,0,1,0,0,26,0,0,0,20,20,0,0,0,0,0,0,0,0,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,5860,35,5825,0,0,0,1,98,1,9,9,0,8,0,6,0,5983,0,0,0,0,0,7,0,0,0,0,0,7,0,7,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,5,6137
23,Nagpur Rural,41,7,359,350,0,350,0,0,0,9,5,21,33,0,3,11,837,731,0,641,59,0,31,106,74,32,0,0,0,0,0,33,129,90,10,0,0,0,10,10,2,17,149,143,0,143,0,0,0,0,6,0,0,0,0,0,0,60,0,1,1689,0,0,0,0,29,60,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,5,94,1126,291,835,398,77,321,3,62,0,8,8,0,0,0,28,0,1625,1,0,0,0,1,97,19,3,13,3,0,53,25,98,0,0,0,0,923,393,325,205,162,0,0,7,0,18,33,62,64,0,0,15,1284,12,4802
24,Nanded,59,2,265,264,18,246,0,0,0,1,11,39,78,0,11,12,1160,1028,29,884,102,13,0,132,70,62,0,0,0,0,0,0,145,73,72,0,8,0,64,0,0,0,154,124,123,1,0,0,1,19,0,0,10,0,0,0,0,32,0,2,1970,0,0,0,0,31,163,0,0,0,0,14,0,0,0,5,3,39,3,55,1,2,6,35,0,0,0,13,207,796,333,463,295,27,268,14,47,2,12,12,0,1,0,17,0,1184,0,0,0,0,0,88,7,0,1,0,6,79,2,88,3,17,0,0,526,135,108,283,1132,0,148,17,0,7,34,110,204,0,0,3,2201,24,5674
25,Nandurbar,35,0,129,129,20,109,0,0,0,0,0,7,33,1,1,3,174,157,0,136,17,1,3,17,11,6,0,0,0,0,0,13,49,28,14,0,1,2,11,1,1,5,41,10,10,0,0,0,0,31,0,0,0,0,0,0,0,13,0,1,500,0,0,0,0,8,114,1,0,0,9,1,5,0,0,0,0,0,0,0,0,0,0,98,0,0,0,9,131,289,162,127,73,2,71,1,30,0,10,10,0,0,0,8,0,411,0,0,0,0,0,40,1,0,1,0,0,39,0,40,0,0,1,0,121,47,36,38,276,0,0,2,0,13,8,12,61,0,0,2,496,3,1581
26,Nasik Commr.,41,1,183,181,0,181,0,1,0,1,2,18,38,0,8,10,337,274,0,206,53,14,1,63,24,39,0,0,0,0,0,16,96,51,16,0,1,0,15,2,4,23,221,214,196,18,0,2,3,2,0,0,0,1,0,0,0,12,0,0,984,0,0,0,0,1,62,0,0,0,4,0,2,0,0,0,0,4,6,20,0,0,0,26,0,0,0,50,113,1027,602,425,319,72,247,27,199,0,25,25,0,7,0,35,0,1639,7,0,0,0,7,241,165,24,13,1,127,67,9,248,0,79,0,0,401,41,75,285,1007,0,1,2,0,0,20,30,131,0,0,8,1679,29,4692
27,Nasik Rural,78,6,665,664,223,441,0,1,0,0,7,78,65,0,0,11,1125,889,10,802,68,8,1,236,98,134,3,0,1,0,0,20,220,21,176,1,1,0,174,12,0,11,210,189,10,179,0,0,0,14,7,0,0,1,0,0,0,26,0,4,2516,0,0,0,0,35,436,0,0,0,3,1,5,0,0,0,0,87,35,0,0,73,0,232,5,4,1,9,485,1028,536,492,379,47,332,8,102,0,28,28,0,3,0,30,0,1578,0,0,0,0,0,201,6,0,4,2,0,190,5,201,0,21,0,0,601,48,183,370,857,0,7,13,0,2,30,27,243,0,0,8,1809,203,6792
28,Navi Mumbai,43,3,282,257,0,257,0,0,0,25,1,26,26,0,3,10,505,385,15,286,65,19,0,120,45,63,0,0,7,5,0,7,134,110,8,0,1,0,7,10,1,5,261,251,0,251,0,0,3,1,0,0,6,6,0,0,0,61,0,2,1370,0,0,0,0,1,96,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,1,81,0,0,0,3,100,1146,586,560,449,115,334,20,195,1,8,8,0,4,0,69,0,1892,3,0,0,0,3,394,37,7,12,3,15,346,11,397,0,123,0,0,481,15,69,397,18,0,17,2,0,1,4,45,119,0,2,29,841,74,4674
29,Osmanabad,48,1,246,240,0,240,0,0,0,6,8,43,28,0,2,4,670,592,17,505,66,4,0,78,41,36,0,0,1,0,0,0,121,41,62,0,0,0,62,8,1,9,71,42,30,12,0,0,0,25,0,0,4,0,0,0,0,16,0,0,1258,0,0,0,0,13,193,0,0,0,0,0,31,0,0,16,0,61,59,22,0,0,4,0,0,0,0,12,218,449,172,277,154,31,123,2,23,0,11,11,0,1,0,20,0,660,0,0,0,0,0,51,10,0,1,8,1,41,0,51,0,53,0,0,307,19,49,239,137,2,3,10,0,8,12,51,73,0,0,3,659,4,2850
30,Palghar,74,3,481,466,203,263,0,1,0,14,1,38,39,0,3,9,702,560,1,485,64,9,1,142,80,57,2,0,1,2,0,10,134,35,54,0,0,0,54,9,0,36,411,407,327,80,0,0,1,3,0,0,0,17,1,1,0,71,0,0,1995,0,0,0,0,7,179,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,172,0,0,0,2,188,1024,527,497,527,141,386,16,198,1,14,14,0,7,0,42,0,1829,0,0,0,0,0,282,35,0,0,0,35,224,23,282,0,4,0,0,318,18,154,146,2,0,2,7,0,2,13,41,63,0,0,10,462,79,4835
31,Parbhani,34,3,103,102,92,10,0,0,0,1,4,19,61,0,6,6,798,670,0,583,66,0,21,128,61,66,0,0,0,0,1,19,110,45,44,0,1,0,43,7,2,12,107,95,88,7,0,1,0,8,0,0,3,0,0,0,0,24,0,1,1295,0,0,0,0,8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,99,0,0,0,7,116,475,167,308,162,27,135,3,23,0,7,7,0,1,0,3,0,674,0,0,0,0,0,87,75,0,4,0,71,12,0,87,1,61,0,0,206,0,64,142,368,0,10,28,1,6,22,129,178,0,0,0,1010,29,3211
32,Pune Commr.,110,14,492,435,286,149,0,1,1,55,7,80,163,0,6,22,1440,1106,15,916,138,36,1,334,76,221,0,0,14,23,0,20,503,217,140,14,0,26,100,9,10,127,964,931,264,667,0,0,10,11,0,0,12,23,2,0,0,134,1,16,3997,0,0,0,0,8,264,11,1,1,0,0,0,0,0,8,0,12,53,90,2,7,5,74,2,2,0,92,366,5466,3169,2297,1004,286,718,58,395,3,24,24,0,25,0,91,1,7067,2,0,0,0,2,953,326,54,30,61,181,587,40,955,2,133,0,0,1320,192,542,586,581,8,1,12,0,7,58,87,332,0,40,47,2628,131,15144
33,Pune Railway,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,23,19,0,5,5,1,8,4,1,3,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1504,8,1496,1,1,0,0,14,0,3,3,0,2,0,0,0,1524,0,0,0,0,0,6,0,0,0,0,0,6,0,6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,5,1582
34,Pune Rural,121,36,924,924,193,731,0,0,0,0,6,81,198,1,4,14,1443,1151,80,1027,32,11,1,292,161,129,0,0,0,2,0,72,609,377,79,0,0,0,79,24,5,124,528,486,419,67,2,1,6,27,6,0,0,0,0,0,0,131,0,0,4168,0,0,0,0,21,697,0,0,0,13,0,6,0,0,25,21,133,6,21,0,0,0,472,2,2,0,15,735,4333,1971,2362,840,164,676,19,355,0,68,66,2,10,0,90,0,5715,4,0,0,0,4,513,280,0,20,7,253,233,0,517,1,117,0,1,1093,3,252,838,63,0,5,9,0,1,72,151,247,0,0,32,1792,156,13083
35,Raigad,16,2,247,238,37,201,0,0,0,9,0,19,25,1,1,0,406,361,22,267,54,15,3,45,22,22,0,0,0,1,0,0,88,45,22,0,0,0,22,7,1,13,97,92,86,6,0,0,0,3,1,0,1,0,0,0,0,25,0,2,929,0,0,0,0,47,141,2,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,126,3,3,0,8,199,462,154,308,212,29,183,9,38,0,9,9,0,2,0,14,0,746,1,0,0,0,1,162,43,26,17,0,0,119,0,163,1,6,0,0,387,387,0,0,6,0,2,4,0,10,14,33,39,0,0,9,511,0,2548
36,Ratnagiri,12,4,140,134,15,119,0,0,0,6,1,16,4,0,3,3,259,226,8,176,31,10,1,33,16,17,0,0,0,0,0,14,85,30,23,0,0,0,23,5,0,27,75,74,60,14,0,0,0,1,0,0,0,0,0,0,0,19,0,0,635,0,0,0,0,8,85,0,0,0,3,0,1,0,0,2,1,19,7,52,0,0,0,0,0,0,0,1,94,402,102,300,147,24,123,5,25,0,1,1,0,0,0,12,0,592,0,0,0,0,0,133,82,0,22,19,41,45,6,133,0,3,0,0,418,71,115,232,5,1,5,3,1,4,16,36,13,1,3,27,536,6,1996
37,Sangli,43,11,345,343,182,161,0,0,0,2,7,31,81,0,8,11,704,565,7,463,81,11,3,139,59,79,0,0,0,1,0,15,159,12,96,16,10,6,64,7,2,42,183,126,65,61,0,0,1,40,0,0,16,2,0,0,0,22,0,2,1624,0,0,0,0,11,256,0,0,0,14,0,7,0,0,9,2,48,11,46,0,2,0,117,2,2,0,5,274,983,470,513,314,49,265,9,136,0,11,11,0,5,0,19,0,1477,1,0,0,0,1,160,64,9,1,3,51,82,14,161,1,19,0,0,337,13,42,282,139,0,6,9,0,2,22,51,92,0,0,3,681,182,4399
38,Satara,47,5,440,438,97,341,0,0,2,0,2,42,71,1,8,6,807,624,33,509,68,10,4,183,75,97,0,0,2,9,0,0,245,66,94,8,2,0,84,7,5,73,243,223,171,52,0,0,2,13,0,0,5,4,1,0,0,49,0,6,1977,0,0,0,0,4,369,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,351,2,2,0,19,394,1101,444,657,420,86,334,32,146,0,38,37,1,1,0,33,0,1771,0,0,0,0,0,179,28,6,20,2,0,145,6,179,1,76,0,0,580,85,108,387,1130,3,0,7,10,7,29,92,138,0,0,20,2093,34,6448
39,Sindhudurg,8,0,61,60,34,26,0,0,0,1,1,3,6,0,2,1,125,108,7,78,14,9,0,17,11,2,0,0,3,1,0,3,57,42,2,0,0,0,2,6,0,7,34,18,0,18,0,0,0,8,0,0,8,0,0,0,0,4,0,0,305,0,0,0,0,6,35,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,41,190,20,170,87,27,60,5,3,0,2,2,0,0,0,7,0,294,3,0,0,0,3,27,11,7,3,0,1,5,11,30,0,109,0,0,156,6,37,113,179,0,0,2,0,4,16,25,2,0,0,1,494,134,1298
40,Solapur Commr.,10,2,73,71,0,71,0,0,0,2,0,16,23,0,5,2,234,194,0,148,38,4,4,40,23,17,0,0,0,0,0,22,70,14,24,0,0,0,24,13,14,5,79,69,45,24,0,0,2,7,0,0,1,0,0,0,0,9,0,0,545,0,0,0,0,20,63,0,0,0,0,0,0,0,0,0,0,8,21,4,0,5,0,25,0,0,0,21,104,730,349,381,141,25,116,16,69,0,7,7,0,0,0,8,0,971,9,0,0,0,9,153,12,0,4,0,8,141,0,162,0,10,0,0,205,31,61,113,21,0,9,2,0,0,10,34,79,0,4,4,378,3,2163
41,Solapur Rural,68,60,413,408,0,408,0,0,0,5,6,59,79,3,2,9,1205,1002,0,849,123,2,28,203,0,202,0,0,0,1,0,35,297,135,85,0,0,0,85,21,5,51,176,143,33,110,0,1,1,24,0,0,7,2,0,0,0,41,0,2,2457,0,0,0,0,3,421,0,0,0,0,17,0,0,0,44,19,78,121,0,0,0,18,124,0,0,0,55,479,1290,488,802,332,22,310,13,79,0,14,13,1,7,0,27,0,1762,1,0,0,0,1,145,14,0,0,14,0,100,31,146,0,354,2,0,1106,683,157,266,164,0,22,10,0,13,46,61,102,0,1,4,1885,147,6876
42,Thane Commr.,113,4,275,244,0,244,0,1,0,30,7,41,130,0,2,18,1572,1291,6,1124,157,4,0,281,172,106,0,0,0,3,0,6,352,227,60,1,0,3,56,10,9,46,801,748,393,355,0,0,1,3,2,0,47,11,0,0,0,138,0,0,3470,0,0,0,0,8,311,0,0,0,9,0,0,0,0,1,0,2,1,4,0,0,6,288,4,4,0,29,352,3173,1588,1585,1198,254,944,74,794,5,25,25,0,22,0,97,0,5388,8,0,0,0,8,1024,193,10,31,86,66,814,17,1032,5,80,0,2,734,132,171,431,975,3,24,1,0,2,29,86,242,0,34,37,2254,504,13000
43,Thane Rural,42,6,242,227,195,32,0,0,0,15,4,27,26,4,0,3,482,386,6,342,31,6,1,96,38,46,0,0,9,3,0,2,138,58,32,0,0,0,32,4,5,39,241,224,50,174,0,0,0,1,4,0,12,13,0,0,0,50,0,4,1284,0,0,0,0,5,171,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,166,2,2,0,4,182,857,381,476,280,75,205,17,147,0,7,6,1,2,0,45,0,1355,2,0,0,0,2,273,30,0,6,13,11,213,30,275,0,0,0,0,123,12,104,7,99,0,7,4,0,29,15,57,97,0,0,18,449,282,3827
44,Wardha,32,4,174,174,174,0,0,0,0,0,4,17,37,0,0,3,982,860,37,781,30,11,1,122,55,64,0,0,0,3,0,47,125,65,40,0,0,0,40,4,2,14,121,96,0,96,0,0,1,20,3,0,1,0,0,0,0,16,0,0,1562,0,0,0,0,17,41,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,3,6,0,0,0,4,62,603,173,430,233,42,191,2,53,0,1,1,0,3,0,26,0,921,1,0,0,0,1,128,48,1,47,0,0,45,35,129,0,0,0,0,287,0,186,101,971,0,335,10,0,32,34,60,54,0,0,2,1785,29,4488
45,Washim,27,1,116,116,0,116,0,0,0,0,0,28,47,0,1,5,576,513,6,486,20,0,1,63,34,29,0,0,0,0,0,5,123,0,108,0,0,0,108,4,2,9,50,33,0,33,0,0,0,17,0,0,0,0,0,0,0,18,0,5,1002,0,0,0,0,14,95,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,109,340,115,225,91,28,63,3,37,0,0,0,0,0,0,6,0,477,1,0,0,0,1,44,0,0,0,0,0,44,0,45,0,0,0,0,151,0,101,50,177,1,160,10,0,10,16,22,132,0,0,1,680,72,2385
