SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Haridwar,2016,63,82,10,0,104,0,133,6,3,45,86,504,0,164,47,202,14,12,0,8,13,86,0,68,0,199,0,1,5,0,135,1,2,711,2704
7,Nainital,2016,16,18,4,1,46,0,110,4,0,9,35,157,0,62,14,48,0,0,2,8,13,48,0,32,0,93,0,1,0,0,120,0,0,221,1062
8,Pauri Garhwal,2016,5,7,1,0,4,0,58,0,0,3,8,40,0,9,8,25,1,2,0,0,1,15,0,7,0,12,0,0,1,0,19,0,2,51,279
9,Pithoragarh,2016,3,2,0,0,3,0,11,0,0,2,4,7,0,8,0,3,0,1,2,1,1,2,0,5,0,8,0,0,0,0,6,1,0,35,105
10,Rudra Prayag,2016,3,0,0,0,6,0,65,0,0,1,7,5,0,0,3,5,0,0,0,3,0,4,0,1,0,4,0,0,0,0,5,0,0,8,120
11,Tehri Garhwal,2016,1,4,0,0,10,0,32,0,0,3,12,20,0,7,4,5,0,0,1,3,2,4,1,6,0,12,0,0,0,0,20,0,0,46,193
12,Udhamsingh Nagar,2016,57,73,0,0,71,0,211,4,1,27,141,600,0,139,39,333,0,10,0,0,15,94,2,123,1,98,1,18,0,0,385,0,0,1094,3537
13,Uttarkashi,2016,4,0,1,1,7,1,15,0,0,0,8,7,0,5,5,8,0,2,0,0,0,6,0,3,0,5,0,0,0,0,8,1,0,20,107
14,Total District(s),,194,212,29,2,336,6,789,17,5,128,418,1823,0,481,161,888,195,45,9,65,57,344,3,392,1,595,1,22,18,0,897,6,8,2720,10867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,North 24 Parganas,2016,130,1236,53,510,120,150,555,5,59,21,5,1101,0,133,84,256,114,21,31,2649,43,172,16,1955,2,298,0,1,22,0,439,18,2,3602,13803
2,South 24 Parganas (old),2016,218,476,27,0,56,104,797,8,123,39,71,1442,0,681,104,683,26,22,21,946,49,166,16,3227,0,380,0,0,30,0,781,12,0,10321,20826
3,Alipurduar,2016,33,75,4,0,24,27,126,0,3,11,6,443,2,2,27,58,9,1,26,402,7,80,3,292,0,130,2,0,26,0,99,12,1,500,2431
4,Asansol-Durgapur PC,2016,60,269,16,4,23,21,119,9,46,24,20,613,0,154,97,213,96,20,7,54,20,44,2,370,0,225,0,2,13,0,194,0,3,1694,4432
5,Bankura,2016,60,111,7,0,32,17,112,5,12,11,15,155,0,119,15,75,28,0,37,98,19,83,10,329,0,190,0,0,16,0,160,1,0,1192,2909
6,Barrackpur PC,2016,56,496,34,52,33,16,193,1,122,20,22,1255,13,118,113,600,90,27,36,1444,21,582,32,1260,1,200,0,1,115,0,593,5,6,824,8381
7,Bidhannagar PC,2016,22,90,5,14,11,8,110,4,82,5,11,612,4,11,85,436,90,3,6,355,9,117,17,426,0,93,0,0,50,0,303,5,0,779,3763
8,Birbhum,2016,94,560,10,10,20,47,89,8,58,38,8,263,80,116,10,87,8,7,22,607,14,78,0,268,0,284,0,1,11,0,156,0,0,432,3386
9,Burdwan (old),2016,102,493,18,0,46,79,212,5,22,25,4,487,0,147,11,255,0,2,18,174,24,203,0,545,0,500,0,0,17,0,337,0,2,3548,7276
10,Coochbehar,2016,70,129,6,0,79,90,161,0,2,3,2,273,60,19,34,93,6,3,34,177,27,115,3,633,0,159,0,0,23,0,189,1,2,1890,4283
11,Dakshin Dinajpur,2016,32,134,23,30,19,46,102,1,9,1,1,164,9,6,6,30,6,3,6,566,12,89,1,285,1,137,0,0,10,0,156,1,1,510,2397
12,Darjeeling,2016,30,55,6,4,11,7,88,0,2,7,0,202,6,1,29,21,18,5,7,210,5,54,0,152,1,90,1,2,1,0,145,8,0,474,1642
13,Hooghly Rural Police,2016,112,379,11,17,24,52,355,10,137,27,21,1046,0,228,44,646,7,19,48,142,47,197,2,1077,0,469,0,6,3,1,447,0,2,3044,8620
14,Howrah G. R. P.,2016,4,10,1,0,0,0,4,1,50,0,0,318,17,1,1,6,3,4,0,4,1,14,2,1,0,1,1,0,3,0,0,0,0,48,495
15,Howrah PC,2016,31,114,3,1,8,8,99,6,37,14,1,901,5,12,31,276,7,1,7,63,7,119,26,413,0,99,0,2,34,0,355,0,1,2061,4742
16,Howrah Rural,2016,83,463,9,9,21,31,214,4,41,6,13,339,39,129,62,154,9,7,35,1196,15,152,1,659,0,278,0,2,22,0,269,2,0,762,5026
17,Jalpaiguri,2016,43,113,15,0,44,27,158,1,7,6,2,352,0,4,40,42,11,0,8,115,10,140,0,228,0,185,0,0,8,0,215,3,0,474,2251
18,Jhargram,2016,28,21,1,0,3,5,28,0,2,6,3,25,3,14,4,19,1,1,6,49,5,41,0,84,0,70,0,0,2,0,64,0,0,165,650
19,Kharagpur G. R. P.,2016,2,0,0,0,1,0,2,1,5,1,0,351,0,1,1,6,0,0,0,4,0,9,0,4,0,3,0,0,0,0,7,1,0,3,402
20,Kolkata,2016,78,159,29,5,15,3,286,4,11,35,37,4186,111,190,249,1823,65,18,2,464,10,348,243,886,4,310,3,1,141,0,4218,10,1,8574,22519
21,Malda,2016,78,989,26,181,88,93,416,5,77,27,3,517,29,31,13,105,8,80,27,1477,27,122,11,646,0,268,0,0,24,0,227,3,2,1173,6773
22,Murshidabad,2016,185,3277,26,1,226,389,268,6,79,25,3,735,0,135,80,167,51,40,40,3522,51,209,7,1701,1,417,0,3,28,0,459,3,7,2286,14427
23,Nadia,2016,138,794,23,173,53,213,472,5,124,19,6,914,0,46,106,339,22,9,15,805,47,124,6,1212,0,330,0,0,82,0,422,21,4,3522,10046
24,Paschim Medinipur,2016,100,631,11,18,45,42,231,4,22,15,7,820,27,129,120,19,27,2,24,93,19,403,14,709,0,380,0,8,15,0,395,0,0,1293,5623
25,Purab Medinipur,2016,90,76,13,1,36,54,262,8,37,29,14,579,8,196,185,72,33,16,21,9,17,95,1,799,0,342,0,0,23,0,459,6,0,2830,6311
26,Purulia,2016,42,70,5,18,13,25,61,3,12,11,0,108,0,40,29,28,4,4,9,399,8,212,0,191,0,127,0,0,7,0,58,1,0,392,1877
27,Sealdah G. R. P.,2016,16,17,0,0,2,0,8,0,114,3,0,334,20,2,2,18,0,0,0,24,1,15,1,0,0,0,0,0,0,0,0,0,0,49,626
28,Siliguri G. R. P.,2016,2,0,0,0,0,0,1,0,0,2,0,191,0,0,0,1,0,1,0,0,0,9,1,1,0,0,0,0,0,0,0,3,0,14,226
29,Siliguri PC,2016,37,55,6,4,26,18,235,1,8,14,0,726,25,6,50,224,56,7,1,398,6,133,25,538,0,120,0,0,7,0,270,9,2,1053,4060
